re0000000114_k1,1.00E-20
re0000000115_k1,1.00E-20
re0000000116_k1,1.00E-20
re0000000117_k1,1.00E-20
re0000000118_k1,1.00E-20
re0000000119_k1,1.00E-20
re0000000120_k1,1.00E-20
re0000000121_k1,1.00E-20
re0000000122_k1,1.00E-20
re0000000123_k1,1.00E-20
re0000000124_k1,1.00E-20
re0000000125_k1,1.00E-20
re0000000126_k1,20
re0000000127_k1,1000
re0000000128_k1,1.00E-20
re0000000129_k1,1.00E-20
re0000000130_k1,1.00E-20
re0000000131_k1,470
re0000000132_k1,10
re0000000133_k1,8900
re0000000134_k1,0.024
re0000000135_k1,3.2
re0000000136_k1,10
re0000000137_k1,4500
re0000000138_k1,1.00E-20
re0000000139_k1,1.00E-20
re0000000140_k1,29
re0000000141_k1,47
re0000000142_k1,1.00E-20
re0000000143_k1,1.00E-20
re0000000144_k1,1.00E-20
re0000000145_k1,1000
re0000000146_k1,1.00E-20
re0000000147_k1,0.07
re0000000148_k1,2.4
re0000000149_k1,1.00E-20
re0000000150_k1,1.00E-20
re0000000151_k1,5
re0000000152_k1,1000
re0000000153_k1,1.00E-20
re0000000154_k1,1.00E-20
re0000000155_k1,1.00E-20
re0000000156_k1,350
re0000000157_k1,10
re0000000158_k1,2500
re0000000159_k1,5
re0000000160_k1,350
re0000000161_k1,10
re0000000162_k1,2500
re0000000163_k1,1.00E-20
re0000000164_k1,1.00E-20
re0000000165_k1,60
re0000000166_k1,150
re0000000167_k1,1.00E-20
re0000000168_k1,1.00E-20
re0000000169_k1,1.00E-20
re0000000170_k1,1000
re0000000171_k1,1.00E-20
re0000000172_k1,0.07
re0000000173_k1,2.4
re0000000174_k1,1.00E-20
re0000000175_k1,1.00E-20
re0000000176_k1,1.00E-20
re0000000177_k1,1.00E-20
re0000000178_k1,22
re0000000179_k1,1.00E-20
re0000000180_k1,1000
re0000000181_k1,1.00E-20
re0000000182_k1,353
re0000000183_k1,100
re0000000184_k1,353
re0000000185_k1,100
re0000000186_k1,1.00E-20
re0000000187_k1,1.00E-20
re0000000188_k1,20
re0000000189_k1,1000
re0000000190_k1,470
re0000000191_k1,10
re0000000192_k1,8900
re0000000193_k1,0.024
re0000000194_k1,3.2
re0000000195_k1,10
re0000000196_k1,4500
re0000000197_k1,2
re0000000198_k1,1.00E-20
re0000000199_k1,376
re0000000200_k1,376
re0000000201_k1,100
re0000000202_k1,100
re0000000203_k1,376
re0000000204_k1,100
re0000000205_k1,376
re0000000206_k1,100
re0000000207_k1,353
re0000000208_k1,100
re0000000209_k1,353
re0000000210_k1,100
re0000000211_k1,1.00E-20
re0000000212_k1,1.00E-20
re0000000213_k1,1.00E-20
re0000000214_k1,1.00E-20
re0000000215_k1,1.00E-20
re0000000216_k1,1.00E-20
re0000000217_k1,1.00E-20
re0000000218_k1,1.00E-20
re0000000219_k1,1.00E-20
re0000000220_k1,13.7
re0000000221_k1,1.00E-20
re0000000222_k1,1000
re0000000223_k1,1.00E-20
re0000000224_k1,1.685
re0000000225_k1,5.6
re0000000226_k1,1.685
re0000000227_k1,5.6
re0000000228_k1,1.00E-20
re0000000229_k1,1.00E-20
re0000000230_k1,5
re0000000231_k1,1000
re0000000232_k1,350
re0000000233_k1,10
re0000000234_k1,2500
re0000000235_k1,5
re0000000236_k1,350
re0000000237_k1,10
re0000000238_k1,2500
re0000000239_k1,200
re0000000240_k1,1.00E-20
re0000000241_k1,50
re0000000242_k1,50
re0000000243_k1,150
re0000000244_k1,150
re0000000245_k1,50
re0000000246_k1,150
re0000000247_k1,50
re0000000248_k1,150
re0000000249_k1,50
re0000000250_k1,150
re0000000251_k1,50
re0000000252_k1,150
re0000000253_k1,1.00E-20
re0000000254_k1,1.00E-20
re0000000255_k1,1.00E-20
re0000000256_k1,1.00E-20
re0000000257_k1,1.00E-20
re0000000258_k1,1.00E-20
re0000000259_k1,1.00E-20
re0000000260_k1,1.00E-20
re0000000261_k1,10
re0000000262_k1,0.03
re0000000263_k1,14
re0000000264_k1,125
re0000000265_k1,350
re0000000266_k1,60
re0000000267_k1,0.002
re0000000268_k1,2
re0000000269_k1,6
re0000000270_k1,85
re0000000271_k1,60
re0000000272_k1,30
re0000000273_k1,0.5
re0000000274_k1,0.03
re0000000275_k1,1.5
re0000000276_k1,0.0013
re0000000277_k1,1.00E-20
re0000000278_k1,1.00E-20
re0000000279_k1,1.00E-20
re0000000280_k1,1.00E-20
re0000000281_k1,1.00E-20
re0000000282_k1,1.00E-20
re0000000283_k1,1.00E-20
re0000000284_k1,1.00E-20
re0000000285_k1,1.00E-20
re0000000286_k1,1.00E-20
re0000000287_k1,1.00E-20
re0000000288_k1,1.5
re0000000289_k1,0.0453
re0000000290_k1,1.00E-20
re0000000291_k1,1.00E-20
re0000000292_k1,300
re0000000293_k1,17.6
re0000000294_k1,0.58
re0000000295_k1,13
re0000000296_k1,1.00E-20
re0000000297_k1,1.00E-20
re0000000298_k1,30
re0000000299_k1,25
re0000000300_k1,30
re0000000301_k1,25
re0000000302_k1,31
re0000000303_k1,5
re0000000304_k1,31
re0000000305_k1,5
re0000000306_k1,5
re0000000307_k1,5
re0000000308_k1,1000
re0000000309_k1,1000
re0000000310_k1,1.00E-20
re0000000311_k1,1.00E-20
re0000000312_k1,1.00E-20
re0000000313_k1,1.00E-20
re0000000314_k1,1.00E-20
re0000000315_k1,1.00E-20
re0000000316_k1,1.00E-20
re0000000317_k1,1.00E-20
re0000000318_k1,1.00E-20
re0000000319_k1,1.00E-20
re0000000320_k1,1.00E-20
re0000000321_k1,1.00E-20
re0000000322_k1,1.00E-20
re0000000323_k1,1.00E-20
re0000000324_k1,1.00E-20
re0000000325_k1,1.00E-20
re0000000326_k1,1.00E-20
re0000000327_k1,1.00E-20
re0000000328_k1,1.00E-20
re0000000329_k1,1.00E-20
re0000000330_k1,19.60784314
re0000000331_k1,1000
re0000000332_k1,2
re0000000333_k1,1000
